Date,Chrome,Edge,Firefox,Safari,Opera
30-04-2023,0.795,0.09,0.046,0.038,0.022
31-03-2023,0.796,0.088,0.047,0.037,0.023
28-02-2023,0.797,0.086,0.048,0.039,0.022
31-01-2023,0.797,0.082,0.05,0.039,0.023
31-12-2022,0.803,0.078,0.049,0.037,0.024
30-11-2022,0.799,0.081,0.049,0.039,0.022
31-10-2022,0.799,0.081,0.052,0.042,0.017
30-09-2022,0.809,0.078,0.052,0.037,0.015
31-08-2022,0.811,0.076,0.052,0.034,0.017
31-07-2022,0.811,0.075,0.05,0.034,0.021
30-06-2022,0.763,0.074,0.051,0.036,0.023
31-05-2022,0.799,0.073,0.053,0.038,0.024
30-04-2022,0.803,0.072,0.053,0.038,0.024
31-03-2022,0.803,0.075,0.053,0.037,0.023
28-02-2022,0.799,0.075,0.054,0.04,0.023
31-01-2022,0.801,0.073,0.055,0.039,0.023
31-12-2021,0.81,0.066,0.055,0.037,0.023
30-11-2021,0.8,0.068,0.058,0.039,0.024
31-10-2021,0.803,0.067,0.057,0.039,0.023
30-09-2021,0.809,0.065,0.056,0.036,0.022
31-08-2021,0.814,0.061,0.056,0.033,0.021
31-07-2021,0.816,0.06,0.056,0.033,0.022
30-06-2021,0.817,0.059,0.056,0.034,0.022
31-05-2021,0.812,0.058,0.058,0.035,0.024
30-04-2021,0.807,0.056,0.061,0.037,0.024
31-03-2021,0.808,0.055,0.063,0.037,0.023
28-02-2021,0.806,0.054,0.066,0.039,0.023
31-01-2021,0.803,0.053,0.067,0.038,0.023
31-12-2020,0.805,0.052,0.067,0.037,0.023
30-11-2020,0.8,0.053,0.071,0.039,0.023
31-10-2020,0.804,0.052,0.071,0.037,0.021
30-09-2020,0.81,0.049,0.072,0.036,0.02
31-08-2020,0.812,0.046,0.073,0.034,0.02
31-07-2020,0.813,0.043,0.076,0.034,0.02
30-06-2020,0.807,0.039,0.081,0.037,0.021
31-05-2020,0.807,0.035,0.085,0.041,0.016
30-04-2020,0.807,0.034,0.086,0.042,0.015
31-03-2020,0.814,0.035,0.087,0.037,0.013
29-02-2020,0.82,0.034,0.087,0.034,0.012
31-01-2020,0.819,0.03,0.091,0.033,0.013
30-11-2019,0.813,0.032,0.092,0.035,0.014
30-09-2019,0.814,0.033,0.091,0.031,0.016
31-07-2019,0.809,0.033,0.093,0.027,0.016
31-05-2019,0.804,0.036,0.095,0.033,0.017
31-03-2019,0.8,0.038,0.096,0.033,0.017
31-01-2019,0.795,0.04,0.102,0.033,0.016
30-11-2018,0.791,0.041,0.102,0.038,0.016
30-09-2018,0.796,0.039,0.103,0.033,0.015
31-07-2018,0.801,0.035,0.108,0.027,0.015
31-05-2018,0.79,0.039,0.109,0.032,0.016
31-03-2018,0.781,0.04,0.115,0.033,0.016
31-01-2018,0.772,0.041,0.124,0.032,0.016
30-11-2017,0.768,0.043,0.125,0.033,0.016
30-09-2017,0.765,0.042,0.128,0.032,0.012
31-07-2017,0.767,0.042,0.133,0.03,0.012
31-05-2017,0.758,0.046,0.136,0.034,0.011
31-03-2017,0.751,0.048,0.141,0.036,0.01
31-01-2017,0.737,0.049,0.154,0.036,0.01
30-11-2016,0.738,0.052,0.153,0.035,0.011
30-09-2016,0.725,0.053,0.163,0.035,0.01
31-07-2016,0.719,0.052,0.171,0.032,0.011
31-05-2016,0.714,0.057,0.169,0.036,0.012
31-03-2016,0.699,0.061,0.178,0.036,0.013
31-01-2016,0.684,0.062,0.188,0.037,0.014
